Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10975396,Kunduchi,Adequate,Chemchem,Yes,61.47,176.5,12.0,16.9,0.7001573068932748,Africa
10975096,Kunduchi,Adequate,Chemchem,Yes,40.57,101.5,11.0,14.0,-0.2477045135416183,Africa
10974653,Kunduchi,Adequate,Chemchem,Yes,41.82,,11.0,,-0.1910142132763735,Africa
10974794,Kunduchi,Adequate,Chemchem,Yes,33.3,80.6,10.0,12.7,-0.5774152998842822,Africa
10974850,Kunduchi,Adequate,Chemchem,Yes,37.35,149.0,10.5,15.6,-0.3937387270248889,Africa
10975184,Kunduchi,Adequate,Chemchem,Yes,97.15,204.0,14.5,17.4,2.318325237664423,Africa
10974850,Kunduchi,Adequate,Chemchem,Yes,78.58,149.0,14.0,15.6,1.4761341369239458,Africa
10975291,Kunduchi,Adequate,Chemchem,Yes,41.29,,10.7,,-0.21505090058883736,Africa
10974964,Kunduchi,Adequate,Chemchem,Yes,83.86,132.8,13.7,15.1,1.71559396524434,Africa
10974720,Kunduchi,Adequate,Chemchem,Yes,22.09,,8.5,,-1.0858139126629975,Africa
10975381,Kunduchi,Adequate,Chemchem,Yes,72.31,166.3,12.6,16.0,1.191775590793478,Africa
10974990,Kunduchi,Adequate,Chemchem,Yes,20.13,,8.5,,-1.1747043034789015,Africa
10975167,Kunduchi,Adequate,Chemchem,Yes,79.32,165.7,13.5,16.2,1.5096947946809705,Africa
10975162,Kunduchi,Adequate,Chemchem,Yes,39.33,89.3,10.5,13.5,-0.30394129140474124,Africa
10975406,Kunduchi,Adequate,Chemchem,Yes,38.53,85.7,10.6,13.3,-0.34022308357449776,Africa
10975153,Kunduchi,Adequate,Chemchem,Yes,74.86,54.3,12.7,14.0,1.3074238033345773,Africa
10974914,Kunduchi,Adequate,Chemchem,Yes,47.78,91.8,11.6,13.8,0.07928513838831379,Africa
10975415,Kunduchi,Adequate,Chemchem,Yes,31.42,73.1,10.0,12.2,-0.6626775114832102,Africa
10974679,Kunduchi,Adequate,Chemchem,Yes,29.45,65.8,10.0,12.0,-0.7520214247012361,Africa
10974647,Kunduchi,Adequate,Chemchem,Yes,64.76,143.2,12.3,15.5,0.8493661771913994,Africa
10974967,Kunduchi,Adequate,Chemchem,Yes,40.44,83.1,10.7,13.5,-0.25360030476920387,Africa
